Folder,Filename,Title,Author,License,Sketchfab Link,Attribution,Lookup Method
Buildings,old_building.glb,Old Building,Erroratten (https://sketchfab.com/erroratten),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/old-building-f72b3723f2a34b6691455947fef598d6,"""Old Building"" by Erroratten (https://sketchfab.com/erroratten) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/old-building-f72b3723f2a34b6691455947fef598d6)",internal
Buildings,old_building_1.glb,old building,Helindu (https://sketchfab.com/Helindu),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/old-building-5a5defb86867408883f83e99c53f2a01,"""old building"" by Helindu (https://sketchfab.com/Helindu) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/old-building-5a5defb86867408883f83e99c53f2a01)",internal
Buildings,old_building_2.glb,Old building,ForevereQ (https://sketchfab.com/ForevereQ),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/old-building-53303653a07943da9bb58db2a07f5f32,"""Old building"" by ForevereQ (https://sketchfab.com/ForevereQ) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/old-building-53303653a07943da9bb58db2a07f5f32)",internal
Buildings,old_building__lowpoly.glb,Old Building | Lowpoly,Fridqeir (https://sketchfab.com/Fridqeir),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/old-building-lowpoly-1f304c6e56324c19955a18aa79b15b9f,"""Old Building | Lowpoly"" by Fridqeir (https://sketchfab.com/Fridqeir) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/old-building-lowpoly-1f304c6e56324c19955a18aa79b15b9f)",internal
Buildings,post-apocalyptic_buildings.glb,Post-apocalyptic buildings,Helindu (https://sketchfab.com/Helindu),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/post-apocalyptic-buildings-fc251a699395458ebc6063f4f0452029,"""Post-apocalyptic buildings"" by Helindu (https://sketchfab.com/Helindu) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/post-apocalyptic-buildings-fc251a699395458ebc6063f4f0452029)",internal
Buildings,realistic_chicago_buildings.glb,Realistic chicago buildings,99.Miles (https://sketchfab.com/Mazen220),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/realistic-chicago-buildings-c4a3993ef1e84e6d9d5a15c78da88aae,"""Realistic chicago buildings"" by 99.Miles (https://sketchfab.com/Mazen220) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/realistic-chicago-buildings-c4a3993ef1e84e6d9d5a15c78da88aae)",internal
Buildings,ruin_building.glb,Ruin Building,nermin (https://sketchfab.com/nermin),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/ruin-building-184d70cc473540749206cc7d8f9917b8,"""Ruin Building"" by nermin (https://sketchfab.com/nermin) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/ruin-building-184d70cc473540749206cc7d8f9917b8)",internal
Buildings,school_building.glb,school building,swjeta (https://sketchfab.com/swjeta),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/school-building-d34ac09a3ca544df999485c4b311abcc,"""school building"" by swjeta (https://sketchfab.com/swjeta) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/school-building-d34ac09a3ca544df999485c4b311abcc)",internal
Buildings,sci-fi_building.glb,Sci-fi Building,Scarecrow_original (https://sketchfab.com/Scarecrow_original),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/sci-fi-building-570874c83da24c788c0f247a51a6814d,"""Sci-fi Building"" by Scarecrow_original (https://sketchfab.com/Scarecrow_original) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/sci-fi-building-570874c83da24c788c0f247a51a6814d)",internal
Buildings,sci-fi_building_2.glb,Sci-fi Building 2,Scarecrow_original (https://sketchfab.com/Scarecrow_original),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/sci-fi-building-2-3559c3a0038f4c5f94335707ccff8217,"""Sci-fi Building 2"" by Scarecrow_original (https://sketchfab.com/Scarecrow_original) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/sci-fi-building-2-3559c3a0038f4c5f94335707ccff8217)",internal
Buildings,star_wars_inspired_low_poly_buildings.glb,Star Wars inspired low poly buildings,OndyRen (https://sketchfab.com/saurondra),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/star-wars-inspired-low-poly-buildings-db883b9fd31f438e94abd3cb8cb3ead5,"""Star Wars inspired low poly buildings"" by OndyRen (https://sketchfab.com/saurondra) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/star-wars-inspired-low-poly-buildings-db883b9fd31f438e94abd3cb8cb3ead5)",internal
Buildings,textured_building_with_interior.glb,Textured Building with Interior,Lodgelus (https://sketchfab.com/lodgelus),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/textured-building-with-interior-8308fcecc38b466f90076af215c52c8e,"""Textured Building with Interior"" by Lodgelus (https://sketchfab.com/lodgelus) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/textured-building-with-interior-8308fcecc38b466f90076af215c52c8e)",internal
